,text,tag,paragraph,article,num_words,num_sentences
11,"Additionally, developing a sense of purpose from your own painful experiences may even inspire others. You may be the very person who helps someone realize that they too can get better and live in recovery. They may regain confidence in treatment and in themselves. ",p,Giving and getting support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,44,4
12,"Accountability, advocacy, and authenticity",h2,"Accountability, advocacy, and authenticity",/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,4,1
13,"You will likely also find that support groups provide a place for accountability in addition to your therapist. Having a therapist trained in ERP and who specializes in OCD cannot be replaced—the knowledge and expertise they have is unmatched, and the skills and the work that they help you do in treatment is unique. They help you build the foundation for the work that you will continue to do throughout your life, for as long as you experience symptoms of OCD. ",p,"Accountability, advocacy, and authenticity",/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,81,4
14,"But when people are in ERP, they often need to have people they trust who can hold them accountable for their treatment. This is true in most areas of our lives. Think about the idea behind playing a sport, for example. A coach is there to support you, to check in, to look for progress, and keep you accountable to ensure you are doing the best work you can. Your team also motivates you and can also help to keep you accountable, as they are in (or were in) your same shoes. It makes sense then that having a group of people who are experiencing similar things as yourself can be so beneficial. There is something powerful about being in a room full of people (even a virtual room) who “get it,” and who have lived experiences that you can relate to. That is what a good OCD support group will do: it allows for accountability and support.",p,"Accountability, advocacy, and authenticity",/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,158,9
15,"In addition to accountability, support groups can help you find more resources and connect you with other sources of support. You can learn to become your own advocate and provide advocacy for others. You can gain insight into what relapse prevention looks like.",p,"Accountability, advocacy, and authenticity",/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,43,4
16,Support groups are also a great tool to help manage and reduce stress. Just talking about the things that make you feel isolated and hidden can be cathartic in and of itself. Having a safe place to be your authentic self and meet others who have similar experiences is a wonderful confidence booster. ,p,"Accountability, advocacy, and authenticity",/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,53,4
17,ERP alongside support,h2,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,3,1
18,"Finding support in a community of others with OCD can be an integral part of the recovery process. It can provide an outlet to express yourself with others who will be understanding and empathetic. However, it’s important to remember that even with the support of others, ERP therapy with a licensed and trained OCD specialist is needed to treat and manage the disorder.  ",p,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,63,4
19,"ERP is the gold standard treatment for OCD. This form of therapy involves specifically targeting the source of your obsessions by directly exposing you to it. In many cases, people find that ERP helps their anxiety subside to the point where they no longer experience intense fears related to their thoughts on a regular basis. ",p,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,55,4
20,"ERP therapy is an active form of treatment and requires intentional buy-in when participating in exposures, a willingness to feel discomfort, and honesty with your therapist about your obsessions and compulsions (even if they are shameful or taboo). ERP therapy has been proven to effectively treat people with OCD. Remember that you are not your OCD, and getting better is possible. ",p,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,61,4
21,"If you’re struggling with OCD and are looking for treatment that can help you get better, NOCD is here for you. Our licensed therapists deeply understand OCD and are specialty-trained in treating OCD with ERP. We work side-by-side with the OCD experts and researchers who designed some of the world’s top OCD treatment programs – and that means the best care for our members. You can book a free 15-minute call with our team to get matched with one and get started with OCD treatment.",p,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,85,5
22,"As a part of NOCD Therapy, you are also able to join others who are on a similar journey, share your personal story if you choose, and learn ways to overcome challenges related to OCD through our support groups. There’s no added cost to participate. Support groups are hosted on Zoom and are led by NOCD therapists. ",p,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,57,4
23,"Some of the support groups that we offer include Managing OCD, Autism and OCD, Mom Support Group, OCD: Sexual Content, Relationship OCD, Creativity in OCD, Teens with OCD, Managing Religious OCD, Hoarding, and many others. ",p,ERP alongside support,/blog/nocd-support-groups-finding-help-and-hope-in-the-ocd-community,35,2
24,Why I Stopped Calling OCD Thoughts “Bad”,h1,title,/blog/why-i-stopped-calling-ocd-thoughts-bad,7,1
25,"I remember the first time I called a thought “bad.” I was 6 years old, and at that moment I felt like the worst child in the world. I felt unlovable and unworthy. I was full of shame and guilt. I believed that my thoughts were evil and represented who I was at my core, my very character. ",p,,/blog/why-i-stopped-calling-ocd-thoughts-bad,58,6
26,"As a child with a developing brain, it would have been impossible to see that this was not indicative of my true character. I remember vividly describing the thoughts to my mom as “bad” thoughts, or as nightmares that happened while I was awake. My mom cleverly started referring to them as “daymares.”",p,,/blog/why-i-stopped-calling-ocd-thoughts-bad,53,4
27,"Looking back on this, my mom and I gave these thoughts way more attention and power than we should have. This was a time period before the internet (can you imagine?), when we didn’t have information about this disorder at our fingertips. I spent years calling these thoughts “bad,” not realizing the damage that this would cause to my sense of self and my belief system.",p,,/blog/why-i-stopped-calling-ocd-thoughts-bad,66,4
28,The truth about our thoughts,h2,The truth about our thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,5,1
29,"The truth is that thoughts are neither good nor bad: they just “are.” They are neutral. They are meaningless until you give them meaning – in other words, it is you who give your thoughts meaning, and this is what can cause distress.  ",p,The truth about our thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,43,4
30,"If I wrote something down on paper does that make it true? What if I am at a grocery store and all of the sudden I decide to yell “fire” at the top of my lungs? Does that mean there is a fire? Maybe I even tell everyone I started that fire, when there clearly is no fire. How is this different from thinking about it? ",p,The truth about our thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,66,2
31,"The same is true no matter what the thoughts involve, whether it is harming a loved one or doing an illegal act. Yet, we tend to give so much weight to our thoughts. This is especially true when we have OCD. ",p,The truth about our thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,41,4
32,"Discomfort, in and of itself, doesn’t equal “bad.” Anxiety doesn’t equal “bad.”  We may not like how it makes us feel, and we may prefer not to feel it. But when we label things as “bad,” particularly our own thoughts, we start to see ourselves in this light and incorporate certain beliefs about ourselves, our values, or our identity.",p,The truth about our thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,59,5
33,"When we have OCD, we doubt the very core of who we are. We doubt that these thoughts don’t have a deeper meaning or mean something sinister. We question whether we are secretly “bad” people who want to do the things that pop into our heads. This can be a terrifying way to live. It is not until we flip the script and refuse to characterize a thought as good or bad that we can find freedom from this debilitating disorder. ",p,The truth about our thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,81,6
34,My thoughts shaped my sense of self,h2,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,7,1
35,"For so many years, I had developed a poor sense of self due to my own intrusive thoughts. It made me feel negatively about who I was as a person. I had difficulty forming friendships and struggled in my relationships. The way I felt about myself trickled into every area of my life. I always thought people were mad at me or that they didn’t like me. I could turn even the most neutral comment from someone into a confirmation that they hated me. It felt so real, and I never questioned it. ",p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,93,8
36,"That’s what OCD does. It sneaks in and makes you believe that the thoughts that you have about yourself are real: that you are the monster it tells you that you are, or that your worst fear will come true. For me, it would take years to challenge this and to see it for what it was. ",p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,57,4
37,A pretty stable fear of mine was having a life-threatening reaction to medication. I remember being so afraid of having a reaction that just the suggestion of anything “new” relating to medications or shots threw me into a panic. ,p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,39,3
38,"There was the time I told myself that my third childbirth would be different, and that I would not let fear stop me from having pain management medications as it did with my first two children. I knew this would likely ruffle OCD’s feathers. I received a spinal block and instantly I began to panic: it felt like my world was spinning, my throat closing in. I truly believed that I was in anaphylactic shock – but I was not. ",p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,80,5
39,"There was the time I was having a standard outpatient mole removal procedure and was given a numbing shot. I immediately told the nurse and doctor my throat was closing and I was dying – but I was not. Another time I had to get my tooth pulled and warned my dentist that the shot I needed for the procedure would cause me to “freak out.” He was so confident and said it would all be fine. As soon as the shot hit, I told him my throat was closing in and I needed help. Not true – I was just fine, only slightly embarrassed. ",p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,105,7
40,"Then it happened, I was having a surgical procedure. At this point in my journey, I was several years into treatment for OCD and feeling capable of taking on any fears. After all, I had faced several fears already and made it through them, so what could go wrong? Turns out I actually was allergic to a medication they gave me and had a reaction. ",p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,65,4
41,And that was it. All these years accumulated to one fairly uneventful event. And it actually wasn’t as scary as I imagined it all those years.  ,p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,26,4
42,"As you can see from my own examples, OCD makes it hard to let go of the thoughts – but not impossible. It is a skill I had to practice over and over. Exposure and Response Prevention (ERP) – the gold standard OCD treatment – taught me the skills I needed to be able to do this. ",p,My thoughts shaped my sense of self,/blog/why-i-stopped-calling-ocd-thoughts-bad,57,4
43,Learning that thoughts are neither “good” nor “bad” – and how to sit with them,h2,Learning that thoughts are neither “good” nor “bad” – and how to sit with them,/blog/why-i-stopped-calling-ocd-thoughts-bad,15,1
44,"ERP allows you to retrain your brain to know that there is no real danger at the moment. Using ERP, I repeatedly allowed myself to sit with the discomfort and anxiety that each thought brought without trying to rid myself of those feelings. Gradually, I was able to see that the thoughts I had did not come true, and in the extremely rare incidents that something difficult happened, I was able to handle it. I survived it.",p,Learning that thoughts are neither “good” nor “bad” – and how to sit with them,/blog/why-i-stopped-calling-ocd-thoughts-bad,77,5
45,"Getting treatment also helped me recognize more readily that everyone – whether they have OCD or not – has these same thoughts, they just don’t necessarily get stuck on them. Instead, they can often more easily shift unwanted thoughts from their brain, without even paying attention to them. I would be lying if I said I wasn’t envious of that ability. I would love to be able to move on quickly from a thought I don’t like.",p,Learning that thoughts are neither “good” nor “bad” – and how to sit with them,/blog/why-i-stopped-calling-ocd-thoughts-bad,77,5
46,"I also wish I could say that I perfectly follow ERP everyday and never struggle with OCD, anxiety and intrusive thoughts. But I would be remiss in telling anyone that. I do still struggle, but far less than before I knew how to respond effectively. The important thing is that I get it right about 80 percent of the time, and that is okay with me. I am in recovery, I still have OCD, but it is manageable. ",p,Learning that thoughts are neither “good” nor “bad” – and how to sit with them,/blog/why-i-stopped-calling-ocd-thoughts-bad,78,6
47,"Today I am careful to not refer to the thoughts that I get stuck on as “bad” thoughts; instead, I just say they are thoughts, and they are neither good nor bad. They just exist. I no longer have “bad” thoughts. I have thoughts, like everyone else, and sometimes they get a little “stuck.” I know how to handle it. The wonderful thing is that the more I respond differently, the less the thoughts are there, and the less they bother me. ",p,Learning that thoughts are neither “good” nor “bad” – and how to sit with them,/blog/why-i-stopped-calling-ocd-thoughts-bad,82,7
48,How to manage unwanted and intrusive thoughts,h2,How to manage unwanted and intrusive thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,7,1
49,"If you are struggling with intrusive thoughts, ERP can teach you how to not stop engaging with the thoughts causing your distress. You will learn how to sit with uncomfortable feelings and resist the urge to do compulsions. You will see that anxiety, like any other feeling, eventually passes, and you don’t have to do anything to make this happen.",p,How to manage unwanted and intrusive thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,60,4
50,"The best way to practice ERP and manage intrusive thoughts is to work with a therapist trained in ERP. At NOCD, our therapists specialize in OCD and ERP, and they will provide you with a personalized treatment plan designed to best meet your unique needs. Your therapist will teach you the skills needed to begin your OCD recovery journey and will support you every step of the way. They will guide you in taking small steps to reach your goals.Our team of therapists at NOCD are passionate about the treatment of this debilitating disorder and are trained by world-renowned experts. To learn more about working with a NOCD therapist, schedule a free call with our care team.",p,How to manage unwanted and intrusive thoughts,/blog/why-i-stopped-calling-ocd-thoughts-bad,117,7
51,Why Do I Need Constant Reassurance in a Relationship?,h1,title,/blog/why-do-i-need-constant-reassurance-relationship-rocd,9,1
52,Do you find yourself constantly seeking reassurance from your partner that they love you? That they even want to be with you? That they find you attractive?,p,,/blog/why-do-i-need-constant-reassurance-relationship-rocd,27,1
53,"You’re not alone — many people may experience doubt in a relationship and may occasionally need reassurance. Your need for reassurance could stem from general self-esteem issues or a history of toxic relationships. Maybe you found out that your ex-boyfriend was cheating on you the entire time you were dating — this would understandably make it hard to trust your current partner, and you may constantly need to be reassured that they’re not cheating on you. ",p,,/blog/why-do-i-need-constant-reassurance-relationship-rocd,76,4
54,"Feeling insecure in your relationship from time to time is completely normal. However, if you find yourself and your partner exhausted by your constant need for reassurance and your daily life impacted by it, you may have a condition known as relationship OCD (ROCD).",p,,/blog/why-do-i-need-constant-reassurance-relationship-rocd,44,3
55,"Before we dive into ROCD, let’s explore the diagnosis of obsessive-compulsive disorder (OCD).",p,,/blog/why-do-i-need-constant-reassurance-relationship-rocd,13,2
56,What is OCD?,h2,What is OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,3,1
57,"OCD is a commonly known mental health diagnosis that falls under the umbrella of anxiety disorders. It is characterized by a pattern of recurrent, intrusive thoughts and repetitive behaviors or mental acts. The thoughts are referred to as “obsessions.” For each individual with OCD, the obsessions can vary and often center on a certain theme. These themes are known as OCD subtypes.",p,What is OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,62,6
58,"For example, someone with checking OCD may experience obsessions over whether their door is actually locked or whether the stove is off.",p,What is OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,22,2
59,"No matter the subtype, people with OCD engage in ritualistic behavior in an attempt to relieve the distress and anxiety that their obsessions cause. These behaviors are the “compulsion” half of the OCD cycle. In the case of someone with checking OCD, the compulsion may look like nonstop checking that the door is locked.",p,What is OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,54,4
60,"While many people might like to double-check their door is actually locked, someone with OCD may fear that something bad will happen if they don’t keep checking repeatedly. Furthermore, the compulsions they engage in do little to alleviate their anxiety, leaving them feeling “stuck” in the cycle of obsessions and compulsions.",p,What is OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,51,3
61,What is relationship OCD?,h2,What is relationship OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,4,1
62,"Relationship OCD, commonly referred to as ROCD, is a subtype of OCD that follows the same vicious obsessive-compulsive cycle. With ROCD, the obsessions focus on uncertainties in an intimate relationship. Similar to relationship anxiety, ROCD can encompass insecurities and worries that many people experience in a relationship. However, for someone with ROCD, these doubts feel intrusive and trigger compulsions.",p,What is relationship OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,59,5
63,"If each time you feel uncertain in your relationship, you feel an intense and all-consuming urge to seek reassurance from your partner that they love you or from your friends that you’re in the right relationship, you may have ROCD. This can feel overwhelming and isolating, but knowing that you may have ROCD is the first step to getting treatment and feeling more secure in your relationship.",p,What is relationship OCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,67,3
64,How do I treat my ROCD?,h2,How do I treat my ROCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,6,1
65,"While it may be scary to learn that you have ROCD, the good news is that it is easily treatable. For any subtype of OCD, the gold standard of treatment is exposure and response prevention (ERP) therapy. ERP is a form of cognitive behavioral therapy (CBT) that works by exposing you to your triggers in a safe and controlled environment in order to help you better manage your compulsions. In other words, you’ll learn healthier ways of handling your relationship insecurities — and, ultimately, you’ll need less reassurance in your relationship.",p,How do I treat my ROCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,91,5
66,"ERP is most effective when the therapist conducting the treatment has experience with OCD and training in ERP. At NOCD, all therapists specialize in OCD and receive ERP-specific training. If you are ready to seek treatment for your ROCD, you can schedule a free call with the NOCD clinical team to learn more about how a licensed therapist can help you. You can also join our Relationship OCD community and get 24/7 access to personalized self-management tools built by people who have been through OCD and successfully recovered.",p,How do I treat my ROCD?,/blog/why-do-i-need-constant-reassurance-relationship-rocd,88,5
67,ERP to Member Advocate: My Journey From OCD to NOCD,h1,title,/blog/ocd-affected-health-erp-saved-my-life,10,1
68,"The road I took to become a Member Advocate at NOCD was one that I could never foresee. My journey began with a car accident I was involved in at the age of 17. I survived the crash, but several months after the incident my parents said that they had a completely different daughter. I ended up with a severe case of OCD. Three therapists later, I was not getting any better.",p,,/blog/ocd-affected-health-erp-saved-my-life,72,6
69,"My OCD was heavy with physical compulsions, and it specifically affected my hygiene. OCD told me that my hair would fall out if I brushed it. It got more extreme over time, telling me that I couldn’t  do certain things without some type of dire consequence. I was afraid to step on cracks in the ground. I had to go up and down the stairs many times. Sometimes, my OCD told me to drive on the wrong side of the road in exchange for a damaging event not coming to fruition. ",p,,/blog/ocd-affected-health-erp-saved-my-life,91,7
70,"My social life was the part of my life that was the most affected because I was completely outcast. As a freshman in college, I needed dreadlocks because of my hygiene issues. I couldn’t shower or walk normally. Sometimes, I avoided a certain color, so if a food that I liked had that color in it, I couldn’t buy it. Random events and activities carried a different meaning to me because of my OCD, and it made life unbearable.",p,,/blog/ocd-affected-health-erp-saved-my-life,79,6
71,I couldn’t be around the color red for over a year.,,,/blog/ocd-affected-health-erp-saved-my-life,11,2
72,"I didn’t get the help I needed until 2010. My OCD was severe enough to get into intensive outpatient therapy. It took me two hours to drive to the three-week ERP-intensive program. The plan was to do sessions every day for several hours. At first, I thought ERP was a joke, but after a few weeks, something clicked for me. Suddenly, my OCD felt like a complete waste of my time.",p,,/blog/ocd-affected-health-erp-saved-my-life,71,7
73,"I began to ask myself: Is OCD real? All of this time, has my OCD been a complete lie? And it was. It took a lot of work and consistency within that work to come to those realizations. I faced my intrusive thoughts head on without giving into them. To put things as succinctly as I can, it was here that I broke my belief system surrounding my OCD, while breaking the foundation between my obsessions and compulsions.",p,,/blog/ocd-affected-health-erp-saved-my-life,78,5
74,"The main reason why I choose to work for NOCD is because I understand the lengths NOCD goes to when vetting its therapists. ERP was the only therapy that worked for me, and with ERP now proven to work for all OCD subtypes, NOCD is committed to ensuring that all of its therapists understand ERP techniques and know what they’re doing. ",p,,/blog/ocd-affected-health-erp-saved-my-life,61,3
75,"I will admit that ERP was scary at first, but you have to put in the time to build up the courage and confidence to beat OCD. You’ll be uncomfortable for a short time. The key is to not look at ERP therapy as a short-term solution. Have faith that your efforts will bring success and help you to  desensitize your OCD. Eventually, once you’ve finished ERP therapy, you can look back and see the improvement you’ve made, which benefits you more than merely seeking success from the beginning.",,,/blog/ocd-affected-health-erp-saved-my-life,89,6
76,"For anyone hesitant to start ERP therapy with NOCD, reach out to one of our Member Advocates. Listen to their story and how they succeeded in reaching their goals through treatment. Member Advocates are the pillars of support, by your side through your treatment when you have questions. They want to help, and they want you to get your life back from OCD. ",p,,/blog/ocd-affected-health-erp-saved-my-life,63,5
77,"If you are living with OCD and want help please reach out and schedule a 15 minute call to learn more about OCD, ERP therapy and how our trained staff of experts can help you. ",p,,/blog/ocd-affected-health-erp-saved-my-life,35,2
78,What if my anxiety is not decreasing during ERP?,h1,title,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,9,1
79,"If you are going through OCD treatment right now using exposure and response prevention (ERP) therapy, then you are likely familiar with the term habituation. Habituation refers to a natural process that often occurs where repeated and prolonged exposure to a feared situation leads to reduced fear responding. Put simply, the more we face our fears, the easier it gets.",p,,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,60,4
80,"You might not realize it, but you have almost certainly experienced habituation at some point in your life. Most of us have had natural childhood fears of things that initially seemed scary, like pedaling a bicycle without training wheels, watching a horror film, or swimming in the deep end of a swimming pool without a floatation device. As most kids do, we overcame those fears by facing them (i.e., putting ourselves in the situation repeatedly), which likely led to a progressive reduction and eventual elimination of any anxiety we experienced. ",p,,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,90,6
81,"For decades, ERP experts have emphasized the importance of habituation in overcoming OCD and other related anxiety conditions. People receiving ERP are frequently instructed to (1) remain in the feared situation until their anxiety level has reduced significantly, often by 50%, and (2) continue to repeatedly practice the same ERP exercises until their anxiety level has diminished to a minimal amount or has gone away completely. These time-honored instructions have helped countless individuals make gains and overcome OCD for decades.",p,,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,80,4
82,"However, if we only focus on habituation during ERP, we might encounter problems. First, while most people experience habituation during and between ERP exercises, some do not—and that’s ok. Additionally, focusing exclusively on habituation may unintentionally send the wrong message that anxiety is an unacceptable feeling that we must get rid of, which is not necessarily true. The reality is that we need to feel anxious in certain situations that are objectively dangerous in order to keep ourselves safe. If you began to cross a busy street without checking for traffic, it would of course be a good thing to be anxious, as your anxiety would cue you to engage in reasonably safe behavior (e.g., checking for traffic). Finally, if our focus during ERP is strictly on habituation, we may lose out on other factors that have been shown to be important in facilitating a positive treatment outcome.",p,,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,148,9
83,What are other important things to pay attention to during your ERP work beyond habituation? ,h2,What are other important things to pay attention to during your ERP work beyond habituation? ,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,15,1
84,"Although reducing fear and anxiety—habituation—is an important area of focus in ERP, it should not be the only focus. There are other factors that come into play in ERP that are associated with a positive therapeutic outcome. If you feel you are too narrowly focused on habituation in your ERP work, consider speaking with your therapist and mentioning some of the other variables in this article that can be helpful to pay attention to when you’re doing ERP.",p,What are other important things to pay attention to during your ERP work beyond habituation? ,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,78,4
85,"If you’re struggling with OCD and haven’t started ERP yet, you can schedule a free call with the NOCD care team to find out how this type of treatment can help you. NOCD offers live face-to-face video therapy sessions with OCD specialists, in addition to ongoing support between sessions, so that you’re fully supported during the course of your treatment. All NOCD therapists specialize in OCD and receive ERP-specific training and ongoing guidance from our clinical leadership team. Many of them have dealt with OCD themselves and understand how crucial ERP therapy is.",p,What are other important things to pay attention to during your ERP work beyond habituation? ,/blog/what-if-my-anxiety-is-not-decreasing-during-erp,93,5
86,Can I Have Two Different Kinds of OCD?,h1,title,/blog/two-different-kinds-of-ocd,8,1
87,What is OCD?,h2,What is OCD?,/blog/two-different-kinds-of-ocd,3,1
88,"Obsessive-compulsive disorder (OCD) is a disorder where you have recurring intrusive thoughts that create a sensation of deep discomfort and lead to compulsions. Everybody experiences intrusive, unwanted thoughts during their lives, but if you have this condition, you tend to feel completely overwhelmed by these thoughts and react to them with repetitive behaviors or mental acts. According to the official medical definition, the obsessions and/or compulsions take up at least one hour per day and are so inhibiting they may interfere with your well-being and become all-consuming. You can find a full breakdown of the different elements that make up OCD in our article here.",p,What is OCD?,/blog/two-different-kinds-of-ocd,105,5
89,"OCD is often misrepresented as something that simply makes you into a very tidy or very clean person, or somebody who is very specific about certain rituals. However, the OCD spectrum is wide and varied, and there is no simple one-size-fits-all approach to it. It’s a disorder that tends to change so much from person to person that specialists categorize it as a “heterogeneous” disorder. So, although you may feel like one of the above examples applies to you, it is possible that you may also experience shades of other types of OCD.",p,What is OCD?,/blog/two-different-kinds-of-ocd,93,5
90,What are the different types of OCD?,h2,What are the different types of OCD?,/blog/two-different-kinds-of-ocd,7,1
91,"There are some symptoms, such as the presence of intrusive thoughts followed by compulsions, that tend to be present in most people’s experience of OCD.. But the way these symptoms manifest, such as the types of things your mind focuses on or the compulsive behaviors that result from it, can be very different from person to person. One individual can have intrusive thoughts about germs and engage in six hours per day of hand-washing. Another can have intrusive thoughts about harming others and engage in three hours of checking/reassurance seeking. ",p,What are the different types of OCD?,/blog/two-different-kinds-of-ocd,90,6
92,"Although there’s a lot of discussion in the medical world about whether there are different set types, categories or subtypes of OCD — and whether it’s a good idea to categorize them in the first place — there are some clear patterns in how OCD may affect you. Some specialists might call them symptom dimensions. It could be helpful for you to be able to identify yourself with a category and to learn that some people feel very similar to how you do, but it isn’t particularly helpful to worry too much about what category you are in if you don’t feel like it’s clean-cut.",p,What are the different types of OCD?,/blog/two-different-kinds-of-ocd,105,4
93,"Here are some of the most commonly described subtypes of OCD, but there are many other variations of the psychological condition:",p,What are the different types of OCD?,/blog/two-different-kinds-of-ocd,21,1
94,Is it possible to have two different kinds of OCD?,h2,Is it possible to have two different kinds of OCD?,/blog/two-different-kinds-of-ocd,10,1
95,"You can absolutely have two or more different types of OCD. Some people only have one subtype, but it is definitely common for people to have more than one. ",p,Is it possible to have two different kinds of OCD?,/blog/two-different-kinds-of-ocd,29,3
96,"Over time, the subtypes may change or stay the same. In some cases, there tends to be one specific type of OCD that presents itself throughout a person’s life, with various symptoms changing over time. In other cases, people manifest different subtypes at different points in their lives. For example, “just right” OCD as a child, contamination OCD as an adolescent, and harm OCD as an adult. ",p,Is it possible to have two different kinds of OCD?,/blog/two-different-kinds-of-ocd,67,5
